
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 103.882   TrackMC Seg Momentum: 103.843  Resolution: 0.0392227
Track Seg Momentum: 104.305   TrackMC Seg Momentum: 104.269  Resolution: 0.0359192
Track Seg Momentum: 104.329   TrackMC Seg Momentum: 104.486  Resolution: -0.157196
Track Seg Momentum: 104.539   TrackMC Seg Momentum: 104.473  Resolution: 0.0667572
Track Seg Momentum: 103.443   TrackMC Seg Momentum: 103.674  Resolution: -0.230576
Track Seg Momentum: 102.348   TrackMC Seg Momentum: 103.154  Resolution: -0.806091
Track Seg Momentum: 104.815   TrackMC Seg Momentum: 104.741  Resolution: 0.074028
Track Seg Momentum: 103.802   TrackMC Seg Momentum: 103.787  Resolution: 0.0147476
Track Seg Momentum: 103.694   TrackMC Seg Momentum: 103.716  Resolution: -0.0217361
Track Seg Momentum: 104.698   TrackMC Seg Momentum: 104.684  Resolution: 0.0147171
Track Seg Momentum: 104.448   TrackMC Seg Momentum: 104.339  Resolution: 0.109383
Track Seg Momentum: 104.011   TrackMC Seg Momentum: 103.985  Resolution: 0.0266953
Track Seg Momentum: 104.089   TrackMC Seg Momentum: 104.048  Resolution: 0.0407257
Track Seg Momentum: 103.997   TrackMC Seg Momentum: 104.075  Resolution: -0.0775833
Track Seg Momentum: 103.751   TrackMC Seg Momentum: 103.635  Resolution: 0.115799
Track Seg Momentum: 103.517   TrackMC Seg Momentum: 102.97  Resolution: 0.547638
Track Seg Momentum: 103.629   TrackMC Seg Momentum: 104.401  Resolution: -0.771469
Track Seg Momentum: 104.19   TrackMC Seg Momentum: 104.458  Resolution: -0.268417
Track Seg Momentum: 103.255   TrackMC Seg Momentum: 103.207  Resolution: 0.0480804
Track Seg Momentum: 104.064   TrackMC Seg Momentum: 104.257  Resolution: -0.193779
Track Seg Momentum: 104.769   TrackMC Seg Momentum: 104.701  Resolution: 0.0686722
